Router’s ID	|	ID of Incoming Port	|	VCID	|	ID of Outgoing Port	|	VCID
7 	|	9	|	1	|	7	|	1
3 	|	0	|	1	|	3	|	1
8 	|	3	|	2	|	8	|	1
4 	|	6	|	1	|	4	|	1
5 	|	4	|	2	|	5	|	1
11 	|	12	|	1	|	11	|	1
2 	|	1	|	1	|	2	|	1
5 	|	2	|	2	|	5	|	2
6 	|	7	|	2	|	6	|	2
4 	|	6	|	3	|	4	|	1
5 	|	2	|	3	|	5	|	1
8 	|	3	|	3	|	8	|	2
13 	|	8	|	3	|	13	|	1
10 	|	9	|	1	|	10	|	1
1 	|	7	|	1	|	1	|	1
9 	|	10	|	1	|	9	|	1
2 	|	1	|	2	|	2	|	4
5 	|	2	|	5	|	5	|	3
13 	|	12	|	1	|	13	|	1
12 	|	13	|	1	|	12	|	2
0 	|	2	|	1	|	0	|	2
4 	|	3	|	1	|	4	|	1
9 	|	11	|	1	|	9	|	2
7 	|	9	|	3	|	7	|	3
5 	|	10	|	1	|	5	|	2
4 	|	5	|	3	|	4	|	1
6 	|	7	|	4	|	6	|	4
4 	|	6	|	5	|	4	|	2
11 	|	9	|	2	|	11	|	1
12 	|	13	|	2	|	12	|	1
6 	|	7	|	5	|	6	|	6
7 	|	6	|	1	|	7	|	2
1 	|	7	|	3	|	1	|	3
13 	|	8	|	4	|	13	|	3
10 	|	9	|	2	|	10	|	2
1 	|	7	|	4	|	1	|	2
5 	|	2	|	6	|	5	|	4
12 	|	5	|	5	|	12	|	3
12 	|	13	|	4	|	12	|	4
0 	|	2	|	2	|	0	|	1
4 	|	3	|	2	|	4	|	2
