destination Node	|	Path	|	Path delay	|	Cost
5 	|	4 5 	|	1 	|	4
6 	|	9 7 6 	|	2 	|	17
13 	|	0 3 8 13 	|	3 	|	13
11 	|	6 4 5 12 11 	|	4 	|	24
10 	|	9 10 	|	1 	|	8
12 	|	1 2 5 12 	|	3 	|	11
3 	|	7 6 4 3 	|	3 	|	14
4 	|	2 5 4 	|	2 	|	5
6 	|	NOT ACC	|	NOT ACC	|	NOT ACC
11 	|	NOT ACC	|	NOT ACC	|	NOT ACC
10 	|	3 8 13 9 10 	|	4 	|	25
0 	|	NOT ACC	|	NOT ACC	|	NOT ACC
1 	|	NOT ACC	|	NOT ACC	|	NOT ACC
10 	|	NOT ACC	|	NOT ACC	|	NOT ACC
1 	|	NOT ACC	|	NOT ACC	|	NOT ACC
7 	|	NOT ACC	|	NOT ACC	|	NOT ACC
0 	|	7 1 0 	|	2 	|	9
11 	|	10 9 11 	|	2 	|	15
6 	|	NOT ACC	|	NOT ACC	|	NOT ACC
8 	|	NOT ACC	|	NOT ACC	|	NOT ACC
6 	|	NOT ACC	|	NOT ACC	|	NOT ACC
2 	|	NOT ACC	|	NOT ACC	|	NOT ACC
13 	|	1 2 5 12 13 	|	4 	|	18
11 	|	13 12 11 	|	2 	|	3
4 	|	2 0 3 4 	|	3 	|	14
6 	|	11 9 7 6 	|	3 	|	19
13 	|	NOT ACC	|	NOT ACC	|	NOT ACC
8 	|	11 8 	|	1 	|	1
6 	|	4 6 	|	1 	|	3
7 	|	NOT ACC	|	NOT ACC	|	NOT ACC
0 	|	3 0 	|	1 	|	5
5 	|	NOT ACC	|	NOT ACC	|	NOT ACC
11 	|	NOT ACC	|	NOT ACC	|	NOT ACC
6 	|	10 5 4 6 	|	3 	|	25
12 	|	NOT ACC	|	NOT ACC	|	NOT ACC
5 	|	NOT ACC	|	NOT ACC	|	NOT ACC
4 	|	NOT ACC	|	NOT ACC	|	NOT ACC
7 	|	NOT ACC	|	NOT ACC	|	NOT ACC
11 	|	NOT ACC	|	NOT ACC	|	NOT ACC
4 	|	NOT ACC	|	NOT ACC	|	NOT ACC
5 	|	NOT ACC	|	NOT ACC	|	NOT ACC
3 	|	7 6 4 3 	|	3 	|	14
11 	|	12 11 	|	1 	|	4
1 	|	0 1 	|	1 	|	2
7 	|	NOT ACC	|	NOT ACC	|	NOT ACC
5 	|	NOT ACC	|	NOT ACC	|	NOT ACC
8 	|	9 11 8 	|	2 	|	8
5 	|	NOT ACC	|	NOT ACC	|	NOT ACC
4 	|	NOT ACC	|	NOT ACC	|	NOT ACC
5 	|	13 12 5 	|	2 	|	9
4 	|	7 6 4 	|	2 	|	10
5 	|	NOT ACC	|	NOT ACC	|	NOT ACC
2 	|	6 7 1 2 	|	3 	|	8
10 	|	NOT ACC	|	NOT ACC	|	NOT ACC
12 	|	8 13 12 	|	2 	|	3
13 	|	NOT ACC	|	NOT ACC	|	NOT ACC
3 	|	NOT ACC	|	NOT ACC	|	NOT ACC
9 	|	NOT ACC	|	NOT ACC	|	NOT ACC
5 	|	9 10 5 	|	2 	|	15
0 	|	7 1 0 	|	2 	|	9
6 	|	NOT ACC	|	NOT ACC	|	NOT ACC
3 	|	NOT ACC	|	NOT ACC	|	NOT ACC
11 	|	2 5 12 11 	|	3 	|	13
11 	|	NOT ACC	|	NOT ACC	|	NOT ACC
5 	|	NOT ACC	|	NOT ACC	|	NOT ACC
3 	|	NOT ACC	|	NOT ACC	|	NOT ACC
13 	|	NOT ACC	|	NOT ACC	|	NOT ACC
0 	|	NOT ACC	|	NOT ACC	|	NOT ACC
11 	|	NOT ACC	|	NOT ACC	|	NOT ACC
2 	|	NOT ACC	|	NOT ACC	|	NOT ACC
4 	|	NOT ACC	|	NOT ACC	|	NOT ACC
11 	|	13 12 11 	|	2 	|	3
13 	|	NOT ACC	|	NOT ACC	|	NOT ACC
4 	|	6 4 	|	1 	|	3
11 	|	NOT ACC	|	NOT ACC	|	NOT ACC
6 	|	NOT ACC	|	NOT ACC	|	NOT ACC
10 	|	NOT ACC	|	NOT ACC	|	NOT ACC
8 	|	NOT ACC	|	NOT ACC	|	NOT ACC
13 	|	NOT ACC	|	NOT ACC	|	NOT ACC
13 	|	NOT ACC	|	NOT ACC	|	NOT ACC
1 	|	2 1 	|	1 	|	2
5 	|	NOT ACC	|	NOT ACC	|	NOT ACC
10 	|	NOT ACC	|	NOT ACC	|	NOT ACC
10 	|	5 10 	|	1 	|	7
8 	|	NOT ACC	|	NOT ACC	|	NOT ACC
13 	|	NOT ACC	|	NOT ACC	|	NOT ACC
3 	|	NOT ACC	|	NOT ACC	|	NOT ACC
13 	|	NOT ACC	|	NOT ACC	|	NOT ACC
0 	|	1 2 0 	|	2 	|	5
4 	|	NOT ACC	|	NOT ACC	|	NOT ACC
2 	|	NOT ACC	|	NOT ACC	|	NOT ACC
10 	|	NOT ACC	|	NOT ACC	|	NOT ACC
4 	|	NOT ACC	|	NOT ACC	|	NOT ACC
4 	|	NOT ACC	|	NOT ACC	|	NOT ACC
6 	|	3 4 6 	|	2 	|	9
0 	|	2 0 	|	1 	|	3
8 	|	NOT ACC	|	NOT ACC	|	NOT ACC
1 	|	NOT ACC	|	NOT ACC	|	NOT ACC
0 	|	NOT ACC	|	NOT ACC	|	NOT ACC
4 	|	3 4 	|	1 	|	6
