Number of Ports,Buffer Size,Knockout,Packet Gen Prob,Queue Type,Avg PD,Std Dev PD,Avg Link Utilization,KOUQ Drop prob
4,2,NA,0.5,INQ,3.58093,0.920581,0.483925,NA
6,2,NA,0.5,INQ,3.67847,1.06605,0.47885,NA
8,2,NA,0.5,INQ,3.73595,1.11773,0.47605,NA
10,2,NA,0.5,INQ,3.73615,1.13925,0.47016,NA
12,2,NA,0.5,INQ,3.76925,1.17402,0.470558,NA
14,2,NA,0.5,INQ,3.7698,1.17981,0.468471,NA
16,2,NA,0.5,INQ,3.7841,1.19446,0.469313,NA
4,3,NA,0.5,INQ,3.75006,1.12766,0.493425,NA
6,3,NA,0.5,INQ,3.9162,1.32013,0.486467,NA
8,3,NA,0.5,INQ,3.9837,1.38957,0.488613,NA
10,3,NA,0.5,INQ,4.05569,1.46686,0.4866,NA
12,3,NA,0.5,INQ,4.11579,1.5151,0.487608,NA
14,3,NA,0.5,INQ,4.09039,1.52816,0.483357,NA
16,3,NA,0.5,INQ,4.11516,1.53961,0.484281,NA
4,4,NA,0.5,INQ,3.88894,1.32359,0.498375,NA
6,4,NA,0.5,INQ,4.08629,1.52188,0.49545,NA
8,4,NA,0.5,INQ,4.13745,1.62428,0.492437,NA
10,4,NA,0.5,INQ,4.21861,1.68128,0.49274,NA
12,4,NA,0.5,INQ,4.25778,1.7265,0.491408,NA
14,4,NA,0.5,INQ,4.35011,1.83868,0.4908,NA
16,4,NA,0.5,INQ,4.36268,1.80779,0.492237,NA
4,2,NA,0.5,INQ,3.55665,0.906039,0.481,NA
6,2,NA,0.5,INQ,3.68324,1.05449,0.478117,NA
8,2,NA,0.5,INQ,3.70635,1.08571,0.475187,NA
10,2,NA,0.5,INQ,3.75542,1.16632,0.47093,NA
12,2,NA,0.5,INQ,3.76716,1.16806,0.471433,NA
14,2,NA,0.5,INQ,3.77475,1.21039,0.468836,NA
16,2,NA,0.5,INQ,3.78968,1.21193,0.470025,NA
4,3,NA,0.5,INQ,3.7654,1.15762,0.49435,NA
6,3,NA,0.5,INQ,3.92844,1.32194,0.4896,NA
8,3,NA,0.5,INQ,3.97163,1.40434,0.485038,NA
10,3,NA,0.5,INQ,4.04818,1.46535,0.4873,NA
12,3,NA,0.5,INQ,4.10655,1.51237,0.485858,NA
14,3,NA,0.5,INQ,4.12669,1.53602,0.486693,NA
16,3,NA,0.5,INQ,4.10813,1.54185,0.4838,NA
4,4,NA,0.5,INQ,3.82343,1.23385,0.497675,NA
6,4,NA,0.5,INQ,4.09035,1.54594,0.496967,NA
8,4,NA,0.5,INQ,4.20592,1.67152,0.49175,NA
10,4,NA,0.5,INQ,4.25363,1.70959,0.49457,NA
12,4,NA,0.5,INQ,4.31343,1.76303,0.492183,NA
14,4,NA,0.5,INQ,4.3219,1.79201,0.4917,NA
16,4,NA,0.5,INQ,4.33144,1.78098,0.491344,NA
