Number of Ports,Buffer Size,Knockout,Packet Gen Prob,Queue Type,Avg PD,Std Dev PD,Avg Link Utilization,KOUQ Drop prob
4,2,NA,1,ISLIP,4.60822,1.66094,0.7665,NA
6,2,NA,1,ISLIP,4.66799,1.91312,0.749217,NA
8,2,NA,1,ISLIP,4.69915,2.05148,0.740613,NA
10,2,NA,1,ISLIP,4.72006,2.14409,0.73495,NA
12,2,NA,1,ISLIP,4.73913,2.23099,0.729733,NA
14,2,NA,1,ISLIP,4.7397,2.25648,0.729671,NA
16,2,NA,1,ISLIP,4.75092,2.29883,0.726638,NA
4,3,NA,1,ISLIP,5.66571,2.47858,0.817925,NA
6,3,NA,1,ISLIP,5.73326,2.87757,0.802967,NA
8,3,NA,1,ISLIP,5.75961,3.07621,0.797338,NA
10,3,NA,1,ISLIP,5.78712,3.26109,0.79153,NA
12,3,NA,1,ISLIP,5.79796,3.32112,0.789192,NA
14,3,NA,1,ISLIP,5.79004,3.35399,0.790943,NA
16,3,NA,1,ISLIP,5.80201,3.40116,0.788375,NA
4,4,NA,1,ISLIP,6.727,3.30174,0.845325,NA
6,4,NA,1,ISLIP,6.77757,3.76202,0.836383,NA
8,4,NA,1,ISLIP,6.81984,4.08985,0.828913,NA
10,4,NA,1,ISLIP,6.84603,4.33128,0.82439,NA
12,4,NA,1,ISLIP,6.8491,4.41323,0.823975,NA
14,4,NA,1,ISLIP,6.86638,4.5231,0.821107,NA
16,4,NA,1,ISLIP,6.86805,4.60713,0.8208,NA
