Number of Ports,Buffer Size,Knockout,Packet Generation Probability,Queue Type,Average Packet Delay (in slots),Standard Deviation PD (in slots),Average Link Utilization,KOUQ Drop probability
4,2,0.6,0.5,KOUQ,3.24364,0.429275,0.482175,0.007175
5,2,0.6,0.5,KOUQ,3.25725,0.437118,0.4835,0.00036
6,2,0.6,0.5,KOUQ,3.25331,0.434904,0.48025,0.0006
7,2,0.6,0.5,KOUQ,3.25829,0.437695,0.474657,2.85714e-05
8,2,0.6,0.5,KOUQ,3.26147,0.439433,0.4775,3.75e-05
9,2,0.6,0.5,KOUQ,3.26042,0.438864,0.476322,0
10,2,0.6,0.5,KOUQ,3.26056,0.438942,0.47712,0
11,2,0.6,0.5,KOUQ,3.26783,0.442828,0.477,0
12,2,0.6,0.5,KOUQ,3.26596,0.441842,0.476108,0
13,2,0.6,0.5,KOUQ,3.26803,0.442934,0.477185,0
14,2,0.6,0.5,KOUQ,3.26731,0.442556,0.477107,0
15,2,0.6,0.5,KOUQ,3.26829,0.44307,0.474707,0
16,2,0.6,0.5,KOUQ,3.26803,0.442935,0.474031,0
17,2,0.6,0.5,KOUQ,3.27254,0.445267,0.473559,0
18,2,0.6,0.5,KOUQ,3.26865,0.44326,0.473906,0
19,2,0.6,0.5,KOUQ,3.27166,0.444816,0.474316,0
20,2,0.6,0.5,KOUQ,3.26718,0.442485,0.475435,0
21,2,0.6,0.5,KOUQ,3.27066,0.444298,0.473648,0
22,2,0.6,0.5,KOUQ,3.26938,0.443639,0.473609,0
23,2,0.6,0.5,KOUQ,3.26896,0.44342,0.473513,0
24,2,0.6,0.5,KOUQ,3.26981,0.443859,0.473333,0
25,2,0.6,0.5,KOUQ,3.27235,0.445172,0.474616,0
26,2,0.6,0.5,KOUQ,3.27251,0.445252,0.474219,0
27,2,0.6,0.5,KOUQ,3.27121,0.444585,0.474578,0
28,2,0.6,0.5,KOUQ,3.27255,0.445272,0.474211,0
29,2,0.6,0.5,KOUQ,3.27054,0.44424,0.473748,0
30,2,0.6,0.5,KOUQ,3.27083,0.44439,0.472947,0
31,2,0.6,0.5,KOUQ,3.27232,0.445152,0.473832,0
32,2,0.6,0.5,KOUQ,3.26827,0.44306,0.474378,0
33,2,0.6,0.5,KOUQ,3.27196,0.44497,0.473385,0
34,2,0.6,0.5,KOUQ,3.27057,0.444255,0.472726,0
35,2,0.6,0.5,KOUQ,3.2735,0.445756,0.474649,0
36,2,0.6,0.5,KOUQ,3.27317,0.44559,0.473283,0
37,2,0.6,0.5,KOUQ,3.27161,0.444791,0.473032,0
38,2,0.6,0.5,KOUQ,3.27001,0.443963,0.473839,0
39,2,0.6,0.5,KOUQ,3.26983,0.443873,0.473446,0
40,2,0.6,0.5,KOUQ,3.26961,0.443758,0.47281,0
41,2,0.6,0.5,KOUQ,3.27055,0.444244,0.471956,0
42,2,0.6,0.5,KOUQ,3.27257,0.445281,0.473431,0
43,2,0.6,0.5,KOUQ,3.27298,0.44549,0.473653,0
44,2,0.6,0.5,KOUQ,3.27453,0.446278,0.4734,0
45,2,0.6,0.5,KOUQ,3.27373,0.445871,0.473016,0
46,2,0.6,0.5,KOUQ,3.27006,0.44399,0.47307,0
47,2,0.6,0.5,KOUQ,3.27203,0.445006,0.472668,0
48,2,0.6,0.5,KOUQ,3.27276,0.445376,0.473156,0
49,2,0.6,0.5,KOUQ,3.2728,0.445397,0.473935,0
50,2,0.6,0.5,KOUQ,3.27276,0.445376,0.473538,0
4,3,0.6,0.5,KOUQ,3.30137,0.523707,0.497475,0.0066
5,3,0.6,0.5,KOUQ,3.35871,0.590445,0.49516,0.0005
6,3,0.6,0.5,KOUQ,3.36737,0.597592,0.49315,0.0007
