Number of Ports,Buffer Size,Knockout,Packet Generation Probability,Queue Type,Average Packet Delay (in slots),Standard Deviation PD (in slots),Average Link Utilization,KOUQ Drop probability
50,4,NA,0,INQ,-nan,-nan,0,NA
50,4,NA,0.1,INQ,3.05863,0.258629,0.099194,NA
50,4,NA,0.2,INQ,3.16236,0.470375,0.20082,NA
50,4,NA,0.3,INQ,3.33745,0.740721,0.299608,NA
50,4,NA,0.4,INQ,3.70346,1.21449,0.39839,NA
50,4,NA,0.5,INQ,4.50823,1.97801,0.48859,NA
50,4,NA,0.6,INQ,5.70763,2.65432,0.551442,NA
50,4,NA,0.7,INQ,6.88131,2.98046,0.57818,NA
50,4,NA,0.8,INQ,7.76447,2.98667,0.587548,NA
50,4,NA,0.9,INQ,8.37121,2.82703,0.591742,NA
50,4,NA,1,INQ,8.76022,2.73943,0.591136,NA
50,4,0.6,0,KOUQ,-nan,-nan,0,0
50,4,0.6,0.1,KOUQ,3.05249,0.230804,0.099668,0
50,4,0.6,0.2,KOUQ,3.12124,0.356745,0.199922,0
50,4,0.6,0.3,KOUQ,3.20522,0.469029,0.299574,0
50,4,0.6,0.4,KOUQ,3.3191,0.598111,0.399882,0
50,4,0.6,0.5,KOUQ,3.45839,0.722748,0.498322,0
50,4,0.6,0.6,KOUQ,3.62918,0.84621,0.592882,0
50,4,0.6,0.7,KOUQ,3.84053,0.957273,0.684162,0
50,4,0.6,0.8,KOUQ,4.06884,1.0396,0.763964,0
50,4,0.6,0.9,KOUQ,4.32205,1.09148,0.832688,0
50,4,0.6,1,KOUQ,4.5573,1.10336,0.8859,0
50,4,NA,0,ISLIP,-nan,-nan,0,NA
50,4,NA,0.1,ISLIP,3.05848,0.262345,0.099384,NA
50,4,NA,0.2,ISLIP,3.1534,0.452124,0.201168,NA
50,4,NA,0.3,ISLIP,3.27562,0.659952,0.300538,NA
50,4,NA,0.4,ISLIP,3.47182,0.948886,0.400394,NA
50,4,NA,0.5,ISLIP,3.74017,1.27932,0.499572,NA
50,4,NA,0.6,ISLIP,4.20956,1.89526,0.599046,NA
50,4,NA,0.7,ISLIP,4.94451,2.79883,0.694736,NA
50,4,NA,0.8,ISLIP,5.85287,3.83976,0.765738,NA
50,4,NA,0.9,ISLIP,6.47746,4.52322,0.803108,NA
50,4,NA,1,ISLIP,6.87516,4.9539,0.819568,NA
