Number of Ports,Buffer Size,Knockout,Packet Generation Probability,Queue Type,Average Packet Delay (in slots),Standard Deviation PD (in slots),Average Link Utilization,KOUQ Drop probability
4,2,NA,1,ISLIP,4.61383,1.67326,0.764875,NA
6,2,NA,1,ISLIP,4.68117,1.93683,0.745633,NA
8,2,NA,1,ISLIP,4.71368,2.08008,0.736675,NA
10,2,NA,1,ISLIP,4.72377,2.14648,0.73389,NA
12,2,NA,1,ISLIP,4.73328,2.22198,0.7313,NA
14,2,NA,1,ISLIP,4.74855,2.27502,0.727321,NA
16,2,NA,1,ISLIP,4.75101,2.28568,0.726594,NA
4,3,NA,1,ISLIP,5.66513,2.47455,0.81785,NA
6,3,NA,1,ISLIP,5.72384,2.84872,0.805083,NA
8,3,NA,1,ISLIP,5.77163,3.05574,0.794863,NA
10,3,NA,1,ISLIP,5.79198,3.2542,0.79049,NA
12,3,NA,1,ISLIP,5.7921,3.31747,0.790467,NA
14,3,NA,1,ISLIP,5.8043,3.37102,0.787921,NA
16,3,NA,1,ISLIP,5.80405,3.38416,0.788031,NA
4,4,NA,1,ISLIP,6.70322,3.21696,0.849775,NA
6,4,NA,1,ISLIP,6.77694,3.76929,0.836467,NA
8,4,NA,1,ISLIP,6.81175,4.08163,0.830225,NA
10,4,NA,1,ISLIP,6.83375,4.26524,0.82643,NA
12,4,NA,1,ISLIP,6.8598,4.46189,0.822058,NA
14,4,NA,1,ISLIP,6.8412,4.45609,0.825321,NA
16,4,NA,1,ISLIP,6.84717,4.58797,0.824263,NA
