Number of Ports,Buffer Size,Knockout,Packet Generation Probability,Queue Type,Average Packet Delay (in slots),Standard Deviation PD (in slots),Average Link Utilization,KOUQ Drop probability
4,2,0.6,0.5,KOUQ,3.31729,0.557936,0.50065,0.006925
6,2,0.6,0.5,KOUQ,3.40899,0.688423,0.5007,0.00528333
8,2,0.6,0.5,KOUQ,3.45098,0.757448,0.5021,0.0039875
10,2,0.6,0.5,KOUQ,3.44172,0.734356,0.50281,0.00319
12,2,0.6,0.5,KOUQ,3.44786,0.744846,0.498783,0.00265833
14,2,0.6,0.5,KOUQ,3.46527,0.768678,0.499186,0.00227857
16,2,0.6,0.5,KOUQ,3.47029,0.777796,0.50095,0.00199375
4,3,0.6,0.5,KOUQ,3.31093,0.554465,0.4883,0.0146
6,3,0.6,0.5,KOUQ,3.40445,0.688266,0.495617,0.0104667
8,3,0.6,0.5,KOUQ,3.42502,0.723904,0.499538,0.0079375
10,3,0.6,0.5,KOUQ,3.43641,0.732768,0.49692,0.00635
12,3,0.6,0.5,KOUQ,3.45881,0.767687,0.49955,0.00529167
14,3,0.6,0.5,KOUQ,3.46672,0.762853,0.499493,0.00453571
16,3,0.6,0.5,KOUQ,3.47858,0.788255,0.501069,0.00396875
4,4,0.6,0.5,KOUQ,3.32173,0.580225,0.4918,0.022925
6,4,0.6,0.5,KOUQ,3.40448,0.688437,0.498133,0.01595
8,4,0.6,0.5,KOUQ,3.42722,0.718322,0.499387,0.012
10,4,0.6,0.5,KOUQ,3.44785,0.754043,0.50003,0.0096
12,4,0.6,0.5,KOUQ,3.44324,0.735432,0.5002,0.008
14,4,0.6,0.5,KOUQ,3.45224,0.750065,0.497243,0.00685714
16,4,0.6,0.5,KOUQ,3.47628,0.786602,0.499925,0.006
4,2,0.8,0.5,KOUQ,3.37984,0.659057,0.501525,0.024275
6,2,0.8,0.5,KOUQ,3.42512,0.727116,0.4997,0.0162333
8,2,0.8,0.5,KOUQ,3.4414,0.74613,0.498075,0.012175
10,2,0.8,0.5,KOUQ,3.44164,0.737208,0.5002,0.00974
12,2,0.8,0.5,KOUQ,3.45516,0.767481,0.497942,0.00811667
14,2,0.8,0.5,KOUQ,3.45952,0.761663,0.499143,0.00695714
16,2,0.8,0.5,KOUQ,3.46375,0.768091,0.5004,0.0060875
4,3,0.8,0.5,KOUQ,3.38189,0.67897,0.497,0.024775
6,3,0.8,0.5,KOUQ,3.42616,0.738949,0.4984,0.0165667
8,3,0.8,0.5,KOUQ,3.43888,0.744913,0.501812,0.012425
10,3,0.8,0.5,KOUQ,3.4608,0.763425,0.50252,0.00994
12,3,0.8,0.5,KOUQ,3.44983,0.746556,0.498983,0.00828333
14,3,0.8,0.5,KOUQ,3.46129,0.768836,0.500657,0.0071
16,3,0.8,0.5,KOUQ,3.47577,0.794733,0.499069,0.0062125
4,4,0.8,0.5,KOUQ,3.37176,0.64943,0.495475,0.0252
6,4,0.8,0.5,KOUQ,3.40764,0.705162,0.500683,0.0168
8,4,0.8,0.5,KOUQ,3.42486,0.71031,0.494837,0.0126
10,4,0.8,0.5,KOUQ,3.4455,0.750765,0.50294,0.01008
12,4,0.8,0.5,KOUQ,3.45095,0.749592,0.500592,0.0084
14,4,0.8,0.5,KOUQ,3.46023,0.761262,0.501314,0.0072
16,4,0.8,0.5,KOUQ,3.46974,0.775233,0.501313,0.0063
4,2,1,0.5,KOUQ,3.35867,0.630047,0.4999,0.0252
6,2,1,0.5,KOUQ,3.41562,0.732171,0.497283,0.0168
8,2,1,0.5,KOUQ,3.42755,0.729119,0.500325,0.0126
10,2,1,0.5,KOUQ,3.44907,0.743969,0.50215,0.01008
12,2,1,0.5,KOUQ,3.46296,0.77035,0.501917,0.0084
14,2,1,0.5,KOUQ,3.47462,0.794678,0.501214,0.0072
16,2,1,0.5,KOUQ,3.47033,0.779729,0.49905,0.0063
4,3,1,0.5,KOUQ,3.38427,0.686193,0.50095,0.0252
6,3,1,0.5,KOUQ,3.41198,0.702693,0.497633,0.0168
8,3,1,0.5,KOUQ,3.43204,0.725585,0.4977,0.0126
10,3,1,0.5,KOUQ,3.46239,0.770468,0.50018,0.01008
12,3,1,0.5,KOUQ,3.45333,0.75592,0.499908,0.0084
14,3,1,0.5,KOUQ,3.47229,0.771556,0.49945,0.0072
16,3,1,0.5,KOUQ,3.46437,0.78368,0.500788,0.0063
4,4,1,0.5,KOUQ,3.37797,0.68191,0.502625,0.0252
6,4,1,0.5,KOUQ,3.41377,0.711518,0.49995,0.0168
8,4,1,0.5,KOUQ,3.44291,0.739607,0.499538,0.0126
10,4,1,0.5,KOUQ,3.44639,0.767512,0.49867,0.01008
12,4,1,0.5,KOUQ,3.47007,0.787138,0.501733,0.0084
14,4,1,0.5,KOUQ,3.4604,0.766672,0.499857,0.0072
16,4,1,0.5,KOUQ,3.47019,0.776187,0.501019,0.0063
