Number of Ports,Buffer Size,Knockout,Packet Generation Probability,Queue Type,Average Packet Delay (in slots),Standard Deviation PD (in slots),Average Link Utilization,KOUQ Drop probability
4,4,NA,0.5,INQ,3.88486,1.33339,0.498525,NA
5,4,NA,0.5,INQ,3.98127,1.39589,0.4964,NA
6,4,NA,0.5,INQ,4.0598,1.50558,0.496667,NA
7,4,NA,0.5,INQ,4.15211,1.5971,0.494929,NA
8,4,NA,0.5,INQ,4.21993,1.68456,0.494538,NA
9,4,NA,0.5,INQ,4.22949,1.68412,0.493611,NA
10,4,NA,0.5,INQ,4.24678,1.70661,0.49072,NA
11,4,NA,0.5,INQ,4.23625,1.68585,0.492091,NA
12,4,NA,0.5,INQ,4.31564,1.75366,0.49305,NA
13,4,NA,0.5,INQ,4.34021,1.79196,0.491115,NA
14,4,NA,0.5,INQ,4.36909,1.84967,0.4921,NA
15,4,NA,0.5,INQ,4.38768,1.84421,0.491733,NA
16,4,NA,0.5,INQ,4.38282,1.82945,0.492737,NA
17,4,NA,0.5,INQ,4.38427,1.84266,0.491676,NA
18,4,NA,0.5,INQ,4.38549,1.85064,0.490283,NA
19,4,NA,0.5,INQ,4.43744,1.90325,0.489674,NA
20,4,NA,0.5,INQ,4.42189,1.88562,0.49106,NA
21,4,NA,0.5,INQ,4.40977,1.86923,0.490067,NA
22,4,NA,0.5,INQ,4.40666,1.86502,0.490536,NA
23,4,NA,0.5,INQ,4.3919,1.84948,0.489391,NA
24,4,NA,0.5,INQ,4.41401,1.85894,0.490333,NA
25,4,NA,0.5,INQ,4.47604,1.94128,0.491612,NA
26,4,NA,0.5,INQ,4.40288,1.86351,0.489077,NA
27,4,NA,0.5,INQ,4.45172,1.90388,0.489919,NA
28,4,NA,0.5,INQ,4.42889,1.88463,0.489332,NA
29,4,NA,0.5,INQ,4.45193,1.90581,0.489924,NA
30,4,NA,0.5,INQ,4.46295,1.89959,0.49154,NA
31,4,NA,0.5,INQ,4.48171,1.95527,0.488919,NA
32,4,NA,0.5,INQ,4.47372,1.94326,0.489041,NA
