Number of Ports,Buffer Size,Knockout,Packet Generation Probability,Queue Type,Average Packet Delay (in slots),Standard Deviation PD (in slots),Average Link Utilization,KOUQ Drop probability
50,4,NA,0,INQ,-nan,-nan,0,NA
50,4,NA,0.1,INQ,3.06091,0.262993,0.100308,NA
50,4,NA,0.2,INQ,3.16339,0.469492,0.199596,NA
50,4,NA,0.3,INQ,3.33368,0.735167,0.299448,NA
50,4,NA,0.4,INQ,3.72076,1.23302,0.399122,NA
50,4,NA,0.5,INQ,4.49297,1.9445,0.489664,NA
50,4,NA,0.6,INQ,5.66416,2.6371,0.551348,NA
50,4,NA,0.7,INQ,6.8547,2.96449,0.579086,NA
50,4,NA,0.8,INQ,7.75473,2.97544,0.58896,NA
50,4,NA,0.9,INQ,8.37631,2.84079,0.590934,NA
50,4,NA,1,INQ,8.78134,2.79085,0.589286,NA
50,4,0.6,0,KOUQ,-nan,-nan,0,0
50,4,0.6,0.1,KOUQ,3.05327,0.232864,0.1001,0
50,4,0.6,0.2,KOUQ,3.12385,0.360754,0.200066,0
50,4,0.6,0.3,KOUQ,3.21025,0.485197,0.300178,0
50,4,0.6,0.4,KOUQ,3.32914,0.629892,0.400784,0
50,4,0.6,0.5,KOUQ,3.48958,0.80413,0.501536,0
50,4,0.6,0.6,KOUQ,3.7298,1.05507,0.600446,0
50,4,0.6,0.7,KOUQ,4.14885,1.48425,0.698614,0
50,4,0.6,0.8,KOUQ,4.9545,2.31395,0.799084,0
50,4,0.6,0.9,KOUQ,7.4379,4.73313,0.899884,0
50,4,0.6,1,KOUQ,54.6243,45.4294,0.992306,0
50,4,NA,0,ISLIP,-nan,-nan,0,NA
50,4,NA,0.1,ISLIP,3.05844,0.262687,0.099862,NA
50,4,NA,0.2,ISLIP,3.14554,0.443957,0.199552,NA
50,4,NA,0.3,ISLIP,3.27641,0.659565,0.299668,NA
50,4,NA,0.4,ISLIP,3.46388,0.928935,0.398884,NA
50,4,NA,0.5,ISLIP,3.75664,1.31672,0.501184,NA
50,4,NA,0.6,ISLIP,4.20487,1.87035,0.5988,NA
50,4,NA,0.7,ISLIP,4.96216,2.79955,0.69571,NA
50,4,NA,0.8,ISLIP,5.83862,3.80374,0.767246,NA
50,4,NA,0.9,ISLIP,6.48826,4.58336,0.803092,NA
50,4,NA,1,ISLIP,6.87793,4.96701,0.819146,NA
