Number of Ports,Buffer Size,Knockout,Packet Generation Probability,Queue Type,Average Packet Delay (in slots),Standard Deviation PD (in slots),Average Link Utilization,KOUQ Drop probability
4,2,NA,0.5,INQ,3.59129,0.947438,0.481575,NA
5,2,NA,0.5,INQ,3.6362,0.998495,0.47872,NA
6,2,NA,0.5,INQ,3.67447,1.06687,0.47845,NA
7,2,NA,0.5,INQ,3.68871,1.06738,0.475071,NA
8,2,NA,0.5,INQ,3.708,1.09293,0.473675,NA
9,2,NA,0.5,INQ,3.73931,1.13915,0.472167,NA
10,2,NA,0.5,INQ,3.74941,1.14813,0.4722,NA
11,2,NA,0.5,INQ,3.75214,1.15368,0.472036,NA
12,2,NA,0.5,INQ,3.76261,1.16066,0.470958,NA
13,2,NA,0.5,INQ,3.78276,1.19356,0.470792,NA
14,2,NA,0.5,INQ,3.7751,1.1922,0.469186,NA
15,2,NA,0.5,INQ,3.78015,1.17912,0.468413,NA
16,2,NA,0.5,INQ,3.78389,1.20346,0.470294,NA
17,2,NA,0.5,INQ,3.79063,1.20673,0.470429,NA
18,2,NA,0.5,INQ,3.791,1.19502,0.46985,NA
19,2,NA,0.5,INQ,3.80634,1.23062,0.469074,NA
20,2,NA,0.5,INQ,3.79444,1.21899,0.467625,NA
21,2,NA,0.5,INQ,3.80161,1.23022,0.466838,NA
22,2,NA,0.5,INQ,3.81792,1.24341,0.467095,NA
23,2,NA,0.5,INQ,3.82032,1.24199,0.46627,NA
24,2,NA,0.5,INQ,3.81471,1.24626,0.468533,NA
25,2,NA,0.5,INQ,3.82102,1.24302,0.466264,NA
26,2,NA,0.5,INQ,3.81837,1.25191,0.467181,NA
27,2,NA,0.5,INQ,3.8172,1.24277,0.468226,NA
28,2,NA,0.5,INQ,3.82393,1.26018,0.467475,NA
29,2,NA,0.5,INQ,3.82146,1.2653,0.466503,NA
30,2,NA,0.5,INQ,3.82102,1.25513,0.465743,NA
31,2,NA,0.5,INQ,3.82308,1.24893,0.465642,NA
32,2,NA,0.5,INQ,3.8277,1.26291,0.465331,NA
33,2,NA,0.5,INQ,3.83847,1.28097,0.467524,NA
34,2,NA,0.5,INQ,3.83685,1.25917,0.466812,NA
35,2,NA,0.5,INQ,3.82607,1.28005,0.466143,NA
36,2,NA,0.5,INQ,3.82436,1.26211,0.465414,NA
37,2,NA,0.5,INQ,3.83435,1.27381,0.466338,NA
38,2,NA,0.5,INQ,3.83579,1.2749,0.465097,NA
39,2,NA,0.5,INQ,3.84543,1.29224,0.465685,NA
40,2,NA,0.5,INQ,3.83461,1.27461,0.465363,NA
41,2,NA,0.5,INQ,3.84075,1.29045,0.465178,NA
42,2,NA,0.5,INQ,3.83964,1.27905,0.465221,NA
43,2,NA,0.5,INQ,3.82871,1.27138,0.465149,NA
44,2,NA,0.5,INQ,3.83367,1.27558,0.464548,NA
45,2,NA,0.5,INQ,3.83315,1.2792,0.464489,NA
46,2,NA,0.5,INQ,3.83057,1.26748,0.466057,NA
47,2,NA,0.5,INQ,3.84469,1.29,0.465645,NA
48,2,NA,0.5,INQ,3.84037,1.27869,0.465396,NA
49,2,NA,0.5,INQ,3.83361,1.27606,0.466,NA
50,2,NA,0.5,INQ,3.84191,1.27938,0.464542,NA
4,3,NA,0.5,INQ,3.74093,1.12085,0.49485,NA
5,3,NA,0.5,INQ,3.8654,1.28165,0.49154,NA
6,3,NA,0.5,INQ,3.93157,1.31161,0.4925,NA
7,3,NA,0.5,INQ,3.99349,1.38326,0.491557,NA
8,3,NA,0.5,INQ,3.97046,1.36991,0.486638,NA
