Number of Ports,Buffer Size,Knockout,Packet Generation Probability,Queue Type,Average Packet Delay (in slots),Standard Deviation PD (in slots),Average Link Utilization,KOUQ Drop probability
4,2,NA,0.5,ISLIP,3.49743,0.883535,0.49525,NA
5,2,NA,0.5,ISLIP,3.54959,0.962424,0.49564,NA
6,2,NA,0.5,ISLIP,3.5686,0.980502,0.493467,NA
7,2,NA,0.5,ISLIP,3.59123,1.02758,0.492557,NA
8,2,NA,0.5,ISLIP,3.60086,1.03673,0.493812,NA
9,2,NA,0.5,ISLIP,3.61453,1.06699,0.491844,NA
10,2,NA,0.5,ISLIP,3.60385,1.05079,0.49088,NA
11,2,NA,0.5,ISLIP,3.62781,1.09258,0.492027,NA
12,2,NA,0.5,ISLIP,3.63176,1.10653,0.49245,NA
13,2,NA,0.5,ISLIP,3.63115,1.08389,0.491677,NA
14,2,NA,0.5,ISLIP,3.6451,1.11201,0.49155,NA
15,2,NA,0.5,ISLIP,3.65801,1.13702,0.493287,NA
16,2,NA,0.5,ISLIP,3.64321,1.12485,0.490706,NA
17,2,NA,0.5,ISLIP,3.65203,1.13587,0.491065,NA
18,2,NA,0.5,ISLIP,3.6683,1.15307,0.493278,NA
19,2,NA,0.5,ISLIP,3.64869,1.14,0.491811,NA
20,2,NA,0.5,ISLIP,3.65425,1.14528,0.490375,NA
21,2,NA,0.5,ISLIP,3.66155,1.15464,0.491771,NA
22,2,NA,0.5,ISLIP,3.65822,1.14778,0.489023,NA
23,2,NA,0.5,ISLIP,3.66117,1.15374,0.491735,NA
24,2,NA,0.5,ISLIP,3.6598,1.15455,0.491408,NA
25,2,NA,0.5,ISLIP,3.65963,1.15937,0.491272,NA
26,2,NA,0.5,ISLIP,3.6625,1.16401,0.491538,NA
27,2,NA,0.5,ISLIP,3.66862,1.16018,0.49137,NA
28,2,NA,0.5,ISLIP,3.66884,1.16532,0.492043,NA
29,2,NA,0.5,ISLIP,3.66026,1.15252,0.491014,NA
30,2,NA,0.5,ISLIP,3.66227,1.1593,0.491027,NA
31,2,NA,0.5,ISLIP,3.66762,1.17117,0.490245,NA
32,2,NA,0.5,ISLIP,3.66412,1.16121,0.491566,NA
33,2,NA,0.5,ISLIP,3.67163,1.18011,0.491079,NA
34,2,NA,0.5,ISLIP,3.67247,1.18156,0.491344,NA
35,2,NA,0.5,ISLIP,3.6768,1.1774,0.492223,NA
36,2,NA,0.5,ISLIP,3.68062,1.19264,0.491356,NA
37,2,NA,0.5,ISLIP,3.66996,1.17705,0.490435,NA
38,2,NA,0.5,ISLIP,3.66895,1.17671,0.490726,NA
39,2,NA,0.5,ISLIP,3.67879,1.19375,0.492092,NA
40,2,NA,0.5,ISLIP,3.685,1.20032,0.491208,NA
41,2,NA,0.5,ISLIP,3.67733,1.18393,0.491044,NA
42,2,NA,0.5,ISLIP,3.6758,1.18263,0.490531,NA
43,2,NA,0.5,ISLIP,3.6793,1.18982,0.491179,NA
44,2,NA,0.5,ISLIP,3.67924,1.19293,0.490718,NA
45,2,NA,0.5,ISLIP,3.67673,1.18569,0.490227,NA
46,2,NA,0.5,ISLIP,3.67816,1.18773,0.491037,NA
47,2,NA,0.5,ISLIP,3.6744,1.17751,0.49214,NA
48,2,NA,0.5,ISLIP,3.6828,1.1938,0.491633,NA
49,2,NA,0.5,ISLIP,3.67912,1.18811,0.491267,NA
50,2,NA,0.5,ISLIP,3.68134,1.18963,0.490814,NA
4,3,NA,0.5,ISLIP,3.56074,1.00996,0.502775,NA
5,3,NA,0.5,ISLIP,3.59051,1.04282,0.49774,NA
6,3,NA,0.5,ISLIP,3.62269,1.09397,0.498217,NA
7,3,NA,0.5,ISLIP,3.66007,1.15005,0.500357,NA
