Number of Ports,Buffer Size,Knockout,Packet Generation Probability,Queue Type,Average Packet Delay (in slots),Standard Deviation PD (in slots),Average Link Utilization,KOUQ Drop probability
4,4,0.6,0.5,KOUQ,3.31388,0.54848,0.4908,0.00695
5,4,0.6,0.5,KOUQ,3.38722,0.649707,0.50184,0.0005
6,4,0.6,0.5,KOUQ,3.40779,0.665727,0.4996,0.000566667
7,4,0.6,0.5,KOUQ,3.40441,0.666427,0.500971,2.85714e-05
8,4,0.6,0.5,KOUQ,3.41569,0.682624,0.496225,5e-05
9,4,0.6,0.5,KOUQ,3.42096,0.682145,0.498567,0
10,4,0.6,0.5,KOUQ,3.42777,0.694655,0.49789,0
11,4,0.6,0.5,KOUQ,3.42084,0.683624,0.500145,0
12,4,0.6,0.5,KOUQ,3.43615,0.704966,0.4983,0
13,4,0.6,0.5,KOUQ,3.44092,0.707673,0.498277,0
14,4,0.6,0.5,KOUQ,3.43726,0.703564,0.499493,0
15,4,0.6,0.5,KOUQ,3.44847,0.714491,0.499533,0
16,4,0.6,0.5,KOUQ,3.44116,0.707747,0.497213,0
17,4,0.6,0.5,KOUQ,3.44595,0.713592,0.498353,0
18,4,0.6,0.5,KOUQ,3.44544,0.714762,0.496556,0
19,4,0.6,0.5,KOUQ,3.44835,0.714195,0.496826,0
20,4,0.6,0.5,KOUQ,3.44204,0.709379,0.49712,0
21,4,0.6,0.5,KOUQ,3.44852,0.70962,0.499367,0
22,4,0.6,0.5,KOUQ,3.44683,0.710604,0.497418,0
23,4,0.6,0.5,KOUQ,3.44953,0.71576,0.497391,0
24,4,0.6,0.5,KOUQ,3.45203,0.717431,0.4978,0
25,4,0.6,0.5,KOUQ,3.45535,0.720743,0.499424,0
26,4,0.6,0.5,KOUQ,3.45305,0.719014,0.497569,0
27,4,0.6,0.5,KOUQ,3.45345,0.720712,0.499278,0
28,4,0.6,0.5,KOUQ,3.4558,0.723027,0.498271,0
29,4,0.6,0.5,KOUQ,3.45777,0.722277,0.499614,0
30,4,0.6,0.5,KOUQ,3.4538,0.719083,0.49814,0
31,4,0.6,0.5,KOUQ,3.45242,0.719246,0.497694,0
