Number of Ports,Buffer Size,Knockout,Packet Generation Probability,Queue Type,Average Packet Delay (in slots),Standard Deviation PD (in slots),Average Link Utilization,KOUQ Drop probability
4,4,NA,0.5,INQ,3.8844,1.33804,0.496975,NA
5,4,NA,0.5,INQ,3.97986,1.43153,0.49446,NA
6,4,NA,0.5,INQ,4.07279,1.51686,0.49435,NA
7,4,NA,0.5,INQ,4.15568,1.58794,0.4956,NA
8,4,NA,0.5,INQ,4.21244,1.68507,0.492787,NA
9,4,NA,0.5,INQ,4.25543,1.73074,0.492889,NA
10,4,NA,0.5,INQ,4.25027,1.68936,0.49099,NA
11,4,NA,0.5,INQ,4.28894,1.75298,0.493818,NA
12,4,NA,0.5,INQ,4.27753,1.72075,0.491808,NA
13,4,NA,0.5,INQ,4.34789,1.78183,0.493308,NA
14,4,NA,0.5,INQ,4.32605,1.77927,0.491079,NA
15,4,NA,0.5,INQ,4.40471,1.86278,0.491507,NA
16,4,NA,0.5,INQ,4.37279,1.82294,0.491494,NA
17,4,NA,0.5,INQ,4.38023,1.85346,0.491371,NA
18,4,NA,0.5,INQ,4.39427,1.85207,0.490817,NA
19,4,NA,0.5,INQ,4.4096,1.85894,0.490326,NA
20,4,NA,0.5,INQ,4.38152,1.84233,0.490375,NA
21,4,NA,0.5,INQ,4.41699,1.86231,0.490962,NA
22,4,NA,0.5,INQ,4.40703,1.87329,0.490109,NA
23,4,NA,0.5,INQ,4.46056,1.90886,0.491587,NA
24,4,NA,0.5,INQ,4.41595,1.87164,0.489833,NA
25,4,NA,0.5,INQ,4.44018,1.90709,0.489088,NA
26,4,NA,0.5,INQ,4.45471,1.90837,0.490904,NA
27,4,NA,0.5,INQ,4.46368,1.92221,0.490581,NA
28,4,NA,0.5,INQ,4.45666,1.91211,0.491654,NA
29,4,NA,0.5,INQ,4.44497,1.90494,0.492131,NA
30,4,NA,0.5,INQ,4.46116,1.91908,0.490043,NA
31,4,NA,0.5,INQ,4.50974,1.97276,0.490084,NA
32,4,NA,0.5,INQ,4.4604,1.91052,0.490475,NA
33,4,NA,0.5,INQ,4.48315,1.95316,0.489427,NA
34,4,NA,0.5,INQ,4.48739,1.95503,0.488915,NA
35,4,NA,0.5,INQ,4.46522,1.92313,0.490546,NA
36,4,NA,0.5,INQ,4.44665,1.90368,0.489272,NA
37,4,NA,0.5,INQ,4.48463,1.93851,0.489662,NA
38,4,NA,0.5,INQ,4.49298,1.94954,0.488416,NA
39,4,NA,0.5,INQ,4.46485,1.91136,0.489997,NA
40,4,NA,0.5,INQ,4.48197,1.92819,0.489555,NA
41,4,NA,0.5,INQ,4.47561,1.93058,0.488349,NA
42,4,NA,0.5,INQ,4.47916,1.93826,0.490136,NA
43,4,NA,0.5,INQ,4.48,1.93815,0.490795,NA
44,4,NA,0.5,INQ,4.51213,1.96802,0.489234,NA
45,4,NA,0.5,INQ,4.49443,1.95154,0.490562,NA
46,4,NA,0.5,INQ,4.49178,1.9507,0.489085,NA
47,4,NA,0.5,INQ,4.51598,1.95756,0.489849,NA
48,4,NA,0.5,INQ,4.4781,1.9427,0.489206,NA
49,4,NA,0.5,INQ,4.49352,1.96496,0.488453,NA
50,4,NA,0.5,INQ,4.48482,1.9443,0.490076,NA
4,4,0.6,0.5,KOUQ,3.31705,0.561924,0.4933,0.00755
5,4,0.6,0.5,KOUQ,3.37982,0.649841,0.4976,0.00048
6,4,0.6,0.5,KOUQ,3.39568,0.658319,0.499483,0.000566667
7,4,0.6,0.5,KOUQ,3.4055,0.675835,0.500471,1.42857e-05
8,4,0.6,0.5,KOUQ,3.41026,0.681394,0.49685,3.75e-05
9,4,0.6,0.5,KOUQ,3.41992,0.688254,0.498511,0
10,4,0.6,0.5,KOUQ,3.42981,0.69871,0.49868,0
11,4,0.6,0.5,KOUQ,3.43094,0.70136,0.497009,0
12,4,0.6,0.5,KOUQ,3.43324,0.699394,0.497108,0
13,4,0.6,0.5,KOUQ,3.43214,0.6995,0.499185,0
14,4,0.6,0.5,KOUQ,3.43572,0.703584,0.496236,0
15,4,0.6,0.5,KOUQ,3.44808,0.713699,0.4981,0
16,4,0.6,0.5,KOUQ,3.44238,0.710117,0.498375,0
17,4,0.6,0.5,KOUQ,3.44485,0.707918,0.499441,0
18,4,0.6,0.5,KOUQ,3.44485,0.711072,0.496956,0
19,4,0.6,0.5,KOUQ,3.44537,0.712786,0.498074,0
20,4,0.6,0.5,KOUQ,3.44473,0.708936,0.49647,0
21,4,0.6,0.5,KOUQ,3.45001,0.716402,0.498105,0
22,4,0.6,0.5,KOUQ,3.44709,0.710283,0.498814,0
23,4,0.6,0.5,KOUQ,3.44915,0.713283,0.498365,0
24,4,0.6,0.5,KOUQ,3.44767,0.712964,0.498679,0
25,4,0.6,0.5,KOUQ,3.45231,0.717856,0.49906,0
26,4,0.6,0.5,KOUQ,3.45181,0.714694,0.499381,0
27,4,0.6,0.5,KOUQ,3.45549,0.722286,0.497204,0
28,4,0.6,0.5,KOUQ,3.45227,0.717717,0.4991,0
29,4,0.6,0.5,KOUQ,3.45342,0.717634,0.497348,0
30,4,0.6,0.5,KOUQ,3.45224,0.717208,0.49797,0
31,4,0.6,0.5,KOUQ,3.4577,0.722516,0.498352,0
32,4,0.6,0.5,KOUQ,3.4498,0.714497,0.498906,0
33,4,0.6,0.5,KOUQ,3.45591,0.721272,0.49787,0
34,4,0.6,0.5,KOUQ,3.45445,0.720504,0.49785,0
35,4,0.6,0.5,KOUQ,3.45433,0.717214,0.497271,0
36,4,0.6,0.5,KOUQ,3.45004,0.71612,0.496897,0
37,4,0.6,0.5,KOUQ,3.45739,0.721613,0.499068,0
38,4,0.6,0.5,KOUQ,3.45769,0.723368,0.497055,0
39,4,0.6,0.5,KOUQ,3.45992,0.726509,0.496723,0
40,4,0.6,0.5,KOUQ,3.45864,0.724878,0.49892,0
41,4,0.6,0.5,KOUQ,3.45707,0.721242,0.497949,0
42,4,0.6,0.5,KOUQ,3.45803,0.723089,0.498319,0
43,4,0.6,0.5,KOUQ,3.4534,0.719441,0.497621,0
44,4,0.6,0.5,KOUQ,3.45646,0.719618,0.498482,0
45,4,0.6,0.5,KOUQ,3.45868,0.725187,0.497449,0
46,4,0.6,0.5,KOUQ,3.45722,0.720883,0.496848,0
47,4,0.6,0.5,KOUQ,3.45932,0.722189,0.497938,0
48,4,0.6,0.5,KOUQ,3.45858,0.723027,0.499044,0
49,4,0.6,0.5,KOUQ,3.46183,0.726009,0.498814,0
50,4,0.6,0.5,KOUQ,3.45569,0.722493,0.497476,0
4,4,NA,0.5,ISLIP,3.54478,0.995713,0.50185,NA
5,4,NA,0.5,ISLIP,3.57798,1.05196,0.49524,NA
6,4,NA,0.5,ISLIP,3.64505,1.149,0.499183,NA
7,4,NA,0.5,ISLIP,3.6398,1.11556,0.500157,NA
8,4,NA,0.5,ISLIP,3.6478,1.14884,0.497375,NA
9,4,NA,0.5,ISLIP,3.6872,1.22653,0.500789,NA
10,4,NA,0.5,ISLIP,3.67077,1.18354,0.49725,NA
11,4,NA,0.5,ISLIP,3.67216,1.18041,0.499136,NA
12,4,NA,0.5,ISLIP,3.70262,1.23248,0.499225,NA
13,4,NA,0.5,ISLIP,3.69828,1.22294,0.498754,NA
14,4,NA,0.5,ISLIP,3.71304,1.24228,0.501793,NA
15,4,NA,0.5,ISLIP,3.71106,1.22839,0.499567,NA
16,4,NA,0.5,ISLIP,3.71484,1.23924,0.501188,NA
17,4,NA,0.5,ISLIP,3.7243,1.26419,0.500847,NA
18,4,NA,0.5,ISLIP,3.71694,1.26059,0.499372,NA
19,4,NA,0.5,ISLIP,3.72265,1.26945,0.498637,NA
20,4,NA,0.5,ISLIP,3.72896,1.25912,0.50006,NA
21,4,NA,0.5,ISLIP,3.72939,1.27008,0.5002,NA
22,4,NA,0.5,ISLIP,3.70792,1.23557,0.497086,NA
23,4,NA,0.5,ISLIP,3.7238,1.25876,0.498726,NA
24,4,NA,0.5,ISLIP,3.7444,1.284,0.500287,NA
25,4,NA,0.5,ISLIP,3.72667,1.26583,0.498736,NA
26,4,NA,0.5,ISLIP,3.72357,1.26178,0.498662,NA
27,4,NA,0.5,ISLIP,3.74113,1.28175,0.501689,NA
28,4,NA,0.5,ISLIP,3.74321,1.28742,0.501832,NA
29,4,NA,0.5,ISLIP,3.7458,1.30547,0.500372,NA
30,4,NA,0.5,ISLIP,3.74169,1.28207,0.500323,NA
31,4,NA,0.5,ISLIP,3.73905,1.29525,0.500939,NA
32,4,NA,0.5,ISLIP,3.74281,1.29855,0.500328,NA
33,4,NA,0.5,ISLIP,3.73693,1.28741,0.499809,NA
34,4,NA,0.5,ISLIP,3.74403,1.30657,0.498365,NA
35,4,NA,0.5,ISLIP,3.73628,1.28829,0.500091,NA
36,4,NA,0.5,ISLIP,3.74204,1.2934,0.499794,NA
37,4,NA,0.5,ISLIP,3.74359,1.287,0.499941,NA
38,4,NA,0.5,ISLIP,3.73581,1.26987,0.500361,NA
39,4,NA,0.5,ISLIP,3.74769,1.30667,0.499903,NA
40,4,NA,0.5,ISLIP,3.74296,1.30382,0.499547,NA
41,4,NA,0.5,ISLIP,3.74891,1.30174,0.500898,NA
42,4,NA,0.5,ISLIP,3.74389,1.30179,0.498788,NA
43,4,NA,0.5,ISLIP,3.73903,1.2989,0.499298,NA
44,4,NA,0.5,ISLIP,3.74711,1.30826,0.499768,NA
45,4,NA,0.5,ISLIP,3.75353,1.31599,0.500129,NA
46,4,NA,0.5,ISLIP,3.75151,1.31427,0.499702,NA
47,4,NA,0.5,ISLIP,3.75187,1.30469,0.49977,NA
48,4,NA,0.5,ISLIP,3.743,1.30279,0.498419,NA
49,4,NA,0.5,ISLIP,3.7498,1.31697,0.498463,NA
50,4,NA,0.5,ISLIP,3.74358,1.30175,0.499348,NA
